Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
82,Toumani Camara,PF,23,POR,55,1296,9.7,.521,.406,.230,8.3,14.9,11.3,6.2,2.0,1.7,15.2,14.1,,-0.2,1.2,1.0,.037,,-4.0,0.0,-4.0,-0.6,camarto01
83,Clint Capela,C,29,ATL,49,1245,20.4,.587,.000,.332,19.3,25.0,22.0,5.3,1.0,5.1,8.3,16.7,,3.0,1.1,4.1,.158,,0.9,-1.4,-0.4,0.5,capelca01
84,Jevon Carter,PG,28,CHI,54,742,8.2,.484,.651,.018,0.9,5.7,3.2,12.3,1.9,1.7,9.5,18.7,,-0.6,0.6,0.0,.002,,-3.5,-0.5,-4.0,-0.4,carteje01
85,Wendell Carter Jr.,C,24,ORL,32,839,15.5,.647,.372,.340,7.9,21.3,14.5,8.8,0.9,1.6,11.9,16.8,,1.4,1.1,2.5,.145,,0.5,-0.1,0.5,0.5,cartewe01
86,D.J. Carton,SG,23,TOR,1,4,22.7,1.042,.000,1.000,0.0,28.1,13.8,0.0,0.0,0.0,0.0,15.4,,0.0,0.0,0.0,.357,,-5.2,5.4,0.2,0.0,cartodj01
87,Alex Caruso,SG,29,CHI,49,1335,14.5,.624,.604,.205,3.8,11.8,7.7,14.4,2.5,4.3,14.9,15.0,,1.5,1.8,3.3,.118,,0.2,2.2,2.5,1.5,carusal01
88,Colin Castleton,C,23,LAL,7,36,18.5,.765,.000,.400,12.9,14.7,13.9,11.9,0.0,0.0,7.8,15.3,,0.2,0.0,0.2,.232,,-0.2,-1.8,-2.0,0.0,castlco01
89,Malcolm Cazalon,SG,22,DET,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.017,,-6.0,-3.2,-9.2,0.0,cazalma01
90,Julian Champagnie,SF,22,SAS,51,856,10.9,.555,.714,.200,3.8,13.0,8.3,9.7,1.7,2.7,10.7,14.6,,0.3,0.7,0.9,.052,,-1.8,-0.4,-2.2,0.0,champju02
91,Justin Champagnie,SF,22,WAS,2,10,30.7,.786,.429,.000,0.0,0.0,0.0,0.0,4.6,0.0,12.5,33.5,,0.0,0.0,0.0,.096,,9.0,2.9,12.0,0.0,champju01
92,Max Christie,SG,20,LAL,46,787,8.1,.542,.495,.209,1.8,14.3,8.3,8.0,1.0,1.8,12.7,13.4,,-0.2,0.7,0.5,.031,,-3.6,-0.4,-4.0,-0.4,chrisma02
93,Sidy Cissoko,SF,19,SAS,5,32,5.4,.387,.667,.667,0.0,20.7,10.1,0.0,4.4,0.0,11.4,11.5,,-0.1,0.0,0.0,-0.014,,-9.3,0.4,-9.0,-0.1,cissosi01
94,Jordan Clarkson,SG,31,UTA,48,1454,12.5,.526,.385,.255,3.4,8.9,6.2,24.0,0.9,0.4,14.2,26.2,,0.2,0.3,0.4,.014,,-1.2,-3.2,-4.3,-0.9,clarkjo01
95,Nic Claxton,C,24,BRK,46,1356,19.2,.625,.010,.290,10.2,27.4,18.5,9.6,1.1,6.7,10.9,15.7,,2.3,2.0,4.3,.153,,0.0,1.4,1.4,1.2,claxtni01
96,Noah Clowney,PF,19,BRK,7,69,16.0,.703,.222,.333,9.1,11.3,10.2,12.4,0.0,1.3,12.7,14.7,,0.2,0.0,0.2,.147,,0.1,-2.1,-2.0,0.0,clownno01
97,Amir Coffey,SF,26,LAC,44,809,11.0,.677,.489,.264,2.5,7.8,5.2,5.9,1.3,0.7,8.3,11.7,,1.3,0.6,1.9,.113,,-1.2,-0.2,-1.3,0.1,coffeam01
98,John Collins,PF,26,UTA,54,1505,16.3,.604,.320,.219,9.1,23.7,16.5,6.2,1.0,2.7,10.5,19.7,,2.0,1.3,3.3,.105,,-0.2,-1.2,-1.5,0.2,collijo01
99,Zach Collins,C,26,SAS,46,1094,13.2,.555,.328,.253,7.8,17.2,12.4,18.6,1.0,2.5,16.2,21.7,,0.0,0.8,0.8,.036,,-2.5,-0.6,-3.1,-0.3,colliza01
100,Mike Conley,PG,36,MIN,52,1503,15.4,.619,.647,.156,1.7,9.1,5.6,29.7,1.8,0.7,11.3,14.7,,3.6,2.4,6.0,.191,,2.0,1.6,3.6,2.1,conlemi01
101,Pat Connaughton,SF,31,MIL,52,1108,9.7,.611,.700,.136,3.6,13.3,8.6,10.9,1.1,1.0,12.8,10.0,,1.1,0.8,2.0,.086,,-1.1,0.1,-1.0,0.3,connapa01
102,Bilal Coulibaly,SF,19,WAS,56,1494,8.7,.546,.413,.295,3.4,12.8,8.0,8.2,1.5,2.3,16.0,14.0,,-0.6,0.7,0.2,.006,,-3.8,-0.5,-4.4,-0.9,coulibi01
103,Ricky Council IV,SG,22,PHI,17,156,19.4,.594,.254,.762,7.7,15.7,11.7,5.6,0.6,0.0,2.3,23.5,,0.5,0.1,0.6,.178,,2.2,-2.1,0.1,0.1,councri01
104,Robert Covington,SF-PF,33,TOT,29,488,13.4,.580,.571,.265,7.0,15.0,11.0,6.1,3.9,3.3,9.1,10.5,,0.6,0.9,1.4,.142,,-1.1,3.2,2.1,0.5,covinro01
104,Robert Covington,PF,33,LAC,3,69,10.5,.455,.889,.222,3.4,9.5,6.6,12.0,4.3,2.6,0.0,6.2,,0.1,0.1,0.2,.127,,-2.4,4.4,2.0,0.1,covinro01
104,Robert Covington,SF,33,PHI,26,419,13.9,.593,.539,.270,7.6,15.9,11.7,5.2,3.8,3.4,9.9,11.3,,0.5,0.8,1.3,.144,,-0.8,3.0,2.1,0.4,covinro01
105,Torrey Craig,SF,33,CHI,33,694,11.4,.559,.593,.162,8.7,16.7,12.6,6.9,1.4,2.2,9.6,12.5,,0.7,0.7,1.4,.099,,-1.7,0.0,-1.7,0.1,craigto01
106,Jae Crowder,PF,33,MIL,27,678,8.4,.548,.653,.160,2.0,13.3,7.8,7.7,1.5,0.7,8.5,11.0,,0.3,0.6,0.9,.061,,-2.5,0.2,-2.3,0.0,crowdja01
107,Cade Cunningham,PG,22,DET,46,1557,15.9,.545,.282,.231,1.3,12.7,6.9,34.7,1.3,0.9,14.8,29.8,,0.3,0.6,0.8,.026,,1.0,-1.9,-1.0,0.4,cunnica01
108,Seth Curry,SG,33,TOT,41,557,9.5,.515,.541,.137,3.3,8.6,5.9,8.8,1.7,0.8,8.5,16.3,,0.0,0.4,0.4,.035,,-2.6,-0.6,-3.3,-0.2,curryse01
108,Seth Curry,SG,33,DAL,36,457,8.5,.502,.552,.131,3.6,8.9,6.2,8.5,1.8,0.6,9.4,15.8,,-0.1,0.3,0.3,.029,,-3.0,-0.9,-3.9,-0.2,curryse01
108,Seth Curry,SG,33,CHO,5,100,13.9,.566,.500,.158,2.1,7.0,4.5,10.6,1.5,1.8,4.7,18.6,,0.1,0.0,0.1,.063,,-0.9,0.7,-0.2,0.0,curryse01
109,Stephen Curry,PG,35,GSW,53,1769,21.1,.631,.605,.255,1.5,12.1,6.8,24.4,1.2,1.0,12.1,31.3,,4.1,1.3,5.5,.149,,6.6,-1.1,5.5,3.3,curryst01
110,Dyson Daniels,PG,20,NOP,52,1139,11.4,.518,.430,.195,5.0,13.6,9.3,15.0,3.1,1.8,15.8,12.4,,0.4,1.8,2.2,.092,,-2.2,2.5,0.3,0.7,daniedy01
111,Anthony Davis,C,30,LAL,55,1962,25.6,.620,.074,.396,9.9,27.4,19.0,16.3,1.5,5.9,9.3,26.8,,5.0,3.3,8.3,.203,,3.4,1.6,5.0,3.5,davisan02
112,Johnny Davis,SG,21,WAS,26,234,4.4,.385,.162,.122,4.9,10.3,7.5,4.9,1.8,0.7,8.2,15.2,,-0.5,0.1,-0.4,-0.074,,-7.4,-2.2,-9.6,-0.5,davisjo06
113,JD Davison,SG,21,BOS,2,6,15.2,.532,1.000,2.000,18.7,16.9,17.8,0.0,0.0,0.0,0.0,13.6,,0.0,0.0,0.0,.204,,-0.6,-1.6,-2.2,0.0,davisjd01
114,Dexter Dennis,SG,24,DAL,4,30,18.2,.541,.421,.158,3.6,29.4,16.4,23.8,0.0,2.9,12.9,33.2,,0.0,0.0,0.0,-0.002,,1.8,-0.2,1.6,0.0,dennide01
115,DeMar DeRozan,SF,34,CHI,55,2072,18.6,.574,.169,.434,1.7,10.7,6.1,21.5,1.5,1.6,7.2,24.7,,4.4,1.7,6.1,.141,,1.5,-0.2,1.3,1.7,derozde01
116,Moussa Diabaté,C,22,LAC,10,58,23.6,.580,.000,.667,28.3,11.3,19.5,9.4,3.4,0.0,7.9,19.0,,0.2,0.1,0.3,.247,,4.1,-1.1,3.0,0.1,diabamo01
117,Mamadi Diakite,PF,27,SAS,3,16,30.2,.785,.000,1.200,6.6,13.8,10.1,20.1,0.0,5.3,0.0,20.0,,0.1,0.0,0.1,.336,,7.8,3.5,11.3,0.1,diakima01
118,Hamidou Diallo,SG,25,WAS,2,5,32.9,.500,.000,.000,41.4,0.0,21.3,28.6,18.6,0.0,33.3,25.1,,0.0,0.0,0.0,.195,,2.5,16.0,18.4,0.0,diallha01
119,Gradey Dick,SG,20,TOR,36,558,9.4,.558,.596,.140,2.9,9.5,6.1,9.5,1.6,0.0,10.4,16.2,,0.2,0.3,0.5,.041,,-3.0,-1.1,-4.1,-0.3,dickgr01
120,Ousmane Dieng,PF,20,OKC,29,326,10.1,.555,.634,.158,3.6,12.7,8.4,12.0,0.7,0.8,12.9,16.5,,0.1,0.3,0.4,.063,,-1.7,-1.1,-2.9,-0.1,diengou01
121,Spencer Dinwiddie,PG,30,TOT,53,1599,12.5,.524,.559,.307,1.7,9.4,5.4,26.0,1.3,0.6,10.1,17.9,,1.7,0.8,2.6,.077,,-1.0,-0.8,-1.8,0.1,dinwisp01
121,Spencer Dinwiddie,PG,30,BRK,48,1474,13.3,.530,.557,.321,1.8,10.0,5.8,26.8,1.3,0.5,9.8,18.4,,1.9,0.8,2.7,.086,,-0.5,-0.8,-1.3,0.3,dinwisp01
121,Spencer Dinwiddie,PG,30,LAL,5,125,3.8,.402,.586,.069,0.0,2.5,1.3,16.5,1.5,0.7,14.3,12.0,,-0.1,0.1,-0.1,-0.027,,-7.1,-0.9,-8.0,-0.2,dinwisp01
122,Donte DiVincenzo,SG,27,NYK,56,1414,16.7,.609,.693,.117,3.3,11.3,7.3,14.3,2.3,1.4,9.4,20.9,,2.6,1.8,4.4,.149,,2.9,1.1,4.0,2.1,divindo01
123,Luka Dončić,PG,24,DAL,49,1832,28.4,.622,.437,.398,2.1,23.7,12.9,43.4,1.9,1.5,12.4,35.9,,6.1,2.3,8.4,.220,,8.3,1.6,9.9,5.5,doncilu01
124,Luguentz Dort,SF,24,OKC,55,1566,11.3,.600,.591,.230,4.4,10.1,7.4,5.9,1.5,2.3,9.0,15.1,,1.5,1.8,3.4,.103,,-1.3,-0.1,-1.4,0.3,dortlu01
125,Ayo Dosunmu,SG,24,CHI,55,1429,12.9,.608,.422,.140,2.8,8.7,5.6,13.8,1.6,1.8,11.5,16.3,,1.6,1.2,2.7,.092,,-0.9,0.0,-0.9,0.4,dosunay01
126,Andre Drummond,C,30,CHI,57,951,23.2,.568,.009,.444,21.8,36.2,28.9,4.6,3.1,3.9,12.9,21.5,,1.4,2.1,3.4,.174,,0.6,-0.3,0.4,0.6,drumman01
127,Chris Duarte,SF,26,SAC,39,508,7.0,.500,.570,.200,3.5,12.7,8.0,8.0,1.9,0.4,12.0,14.0,,-0.1,0.4,0.3,.028,,-4.8,0.1,-4.7,-0.3,duartch01
128,Kris Dunn,PG,29,UTA,50,909,14.0,.568,.349,.108,4.5,12.7,8.7,29.4,2.8,2.1,20.8,14.0,,1.0,0.9,1.9,.098,,-0.8,1.8,1.0,0.7,dunnkr01
129,Kevin Durant,PF,35,PHO,51,1892,22.7,.638,.274,.331,1.7,17.8,10.2,25.0,1.2,3.1,12.9,29.3,,4.3,2.1,6.5,.165,,5.0,0.2,5.2,3.4,duranke01
130,Jalen Duren,C,20,DET,41,1235,18.7,.656,.008,.253,12.0,33.2,22.3,12.4,0.7,2.4,15.4,17.7,,2.2,1.0,3.3,.126,,0.1,-0.1,0.0,0.6,durenja01
131,Tari Eason,PF,22,HOU,22,480,17.1,.528,.265,.175,10.3,23.9,17.1,8.4,3.1,3.7,8.9,19.8,,0.2,1.0,1.3,.125,,-0.7,2.1,1.4,0.4,easonta01
132,Anthony Edwards,SG,22,MIN,54,1894,19.8,.587,.343,.336,1.9,14.6,8.7,24.9,1.7,1.3,12.5,32.1,,2.2,3.4,5.5,.140,,3.1,0.7,3.8,2.8,edwaran01
133,Kessler Edwards,SF,23,SAC,38,179,9.7,.540,.647,.078,3.1,14.8,8.8,6.4,1.1,2.0,1.9,12.8,,0.1,0.1,0.3,.079,,-1.6,-0.5,-2.2,0.0,edwarke02
134,Keon Ellis,SG,24,SAC,33,379,9.7,.585,.811,.189,2.6,9.7,6.1,12.4,1.8,3.1,14.8,12.9,,0.2,0.4,0.6,.075,,-1.9,0.9,-0.9,0.1,elliske01
135,Joel Embiid,C,29,PHI,34,1157,34.3,.645,.149,.534,8.4,28.3,18.3,31.5,1.6,4.6,11.9,39.0,,4.8,2.0,6.8,.281,,8.8,3.1,11.9,4.1,embiijo01
136,Drew Eubanks,C,26,PHO,52,826,14.9,.662,.016,.387,10.1,19.4,15.0,7.8,1.2,4.8,18.4,13.9,,1.1,1.1,2.2,.126,,-2.0,0.7,-1.3,0.2,eubandr01
137,Tosan Evbuomwan,SF,22,TOT,5,82,8.0,.441,.529,.000,10.3,11.1,10.7,9.7,0.6,1.1,5.6,9.4,,0.0,0.1,0.1,.046,,-3.2,-1.3,-4.5,0.0,evbuoto01
137,Tosan Evbuomwan,SF,22,MEM,4,74,5.7,.333,.533,.000,11.5,9.2,10.4,10.8,0.0,1.2,6.3,9.3,,0.0,0.0,0.0,.020,,-4.2,-2.2,-6.4,-0.1,evbuoto01
137,Tosan Evbuomwan,SF,22,DET,1,8,30.0,1.250,.500,.000,0.0,28.8,14.0,0.0,6.0,0.0,0.0,10.5,,0.0,0.0,0.0,.283,,6.1,7.6,13.7,0.0,evbuoto01
138,Dante Exum,PG,28,DAL,32,631,16.6,.663,.320,.217,3.1,12.4,7.7,20.3,1.4,0.7,10.8,16.9,,1.5,0.5,2.0,.153,,1.1,-0.3,0.8,0.4,exumda01
139,Bruno Fernando,C,25,ATL,20,191,16.9,.564,.047,.594,10.8,24.0,17.2,8.0,1.5,4.6,10.0,19.3,,0.2,0.2,0.4,.107,,-1.9,-0.1,-2.1,0.0,fernabr01
140,Dorian Finney-Smith,PF,30,BRK,47,1310,9.8,.542,.674,.077,6.1,12.1,9.0,6.5,1.3,1.9,9.2,13.5,,0.6,0.9,1.5,.056,,-1.9,-0.4,-2.3,-0.1,finnedo01
141,Adam Flagler,SG,24,OKC,1,6,-13.6,.000,1.000,.000,0.0,0.0,0.0,18.0,0.0,0.0,0.0,21.7,,-0.1,0.0,-0.1,-0.451,,-18.0,-8.9,-26.9,0.0,flaglad01
142,Malachi Flynn,PG,25,TOT,49,572,10.1,.528,.560,.200,2.5,12.2,7.2,19.5,1.9,0.9,17.0,17.1,,-0.1,0.4,0.4,.032,,-3.0,0.1,-2.9,-0.1,flynnma01
142,Malachi Flynn,PG,25,TOR,31,474,10.0,.535,.584,.161,3.0,12.3,7.6,20.0,1.8,1.1,18.4,16.2,,0.0,0.4,0.3,.033,,-2.9,0.2,-2.7,-0.1,flynnma01
142,Malachi Flynn,PG,25,NYK,14,60,12.4,.557,.565,.478,0.0,11.2,5.6,14.0,0.8,0.0,9.7,22.0,,0.1,0.0,0.1,.092,,-1.7,-0.9,-2.6,0.0,flynnma01
142,Malachi Flynn,PG,25,DET,4,38,6.9,.409,.333,.133,0.0,12.1,5.9,21.2,3.8,0.0,15.9,20.9,,-0.1,0.0,-0.1,-0.076,,-6.6,0.2,-6.4,0.0,flynnma01
143,Simone Fontecchio,SF,28,TOT,55,1303,11.4,.589,.624,.106,4.7,11.5,8.2,8.8,1.3,1.2,10.7,15.8,,1.1,0.6,1.7,.061,,-0.3,-1.0,-1.3,0.2,fontesi01
143,Simone Fontecchio,SF,28,UTA,50,1160,11.0,.592,.651,.112,5.0,11.6,8.3,8.5,1.2,1.4,12.0,15.2,,0.9,0.5,1.4,.059,,-0.5,-1.1,-1.6,0.1,fontesi01
143,Simone Fontecchio,SF,28,DET,5,143,14.8,.573,.477,.077,3.1,11.3,7.1,11.6,1.3,0.0,2.9,20.4,,0.2,0.0,0.2,.078,,1.3,-0.5,0.8,0.1,fontesi01
144,Jordan Ford,PG,25,SAC,6,22,16.5,.761,.429,.286,0.0,10.5,5.1,12.5,0.0,0.0,11.3,17.2,,0.1,0.0,0.1,.149,,3.2,-1.3,1.9,0.0,fordjo01
145,Trent Forrest,SG,25,ATL,20,210,6.9,.389,.149,.213,2.5,11.2,6.7,24.1,1.6,0.4,17.6,12.2,,-0.1,0.1,0.0,-0.007,,-4.9,-0.3,-5.2,-0.2,forretr01
146,Evan Fournier,SG,31,TOT,7,125,10.6,.518,.654,.173,1.7,15.5,8.5,6.6,3.1,0.7,11.1,21.3,,-0.1,0.1,0.0,.007,,-3.5,0.4,-3.1,0.0,fournev01
146,Evan Fournier,SG,31,NYK,3,39,2.2,.287,.750,.100,0.0,11.5,5.7,10.1,5.1,0.0,4.6,24.0,,-0.2,0.1,-0.1,-0.107,,-12.0,0.3,-11.6,-0.1,fournev01
146,Evan Fournier,SG,31,DET,4,86,14.4,.656,.594,.219,2.5,17.4,9.8,5.0,2.2,1.0,14.6,20.1,,0.0,0.1,0.1,.058,,0.4,0.4,0.8,0.1,fournev01
147,De'Aaron Fox,PG,26,SAC,50,1779,20.1,.571,.373,.317,2.8,10.6,6.6,24.7,2.6,1.0,9.9,31.2,,2.3,1.8,4.1,.112,,2.5,-0.5,2.0,1.8,foxde01
148,Javon Freeman-Liberty,PG,24,TOR,2,4,8.0,.333,.000,.000,27.0,0.0,13.8,0.0,0.0,0.0,0.0,32.1,,0.0,0.0,0.0,-0.153,,-8.1,-9.5,-17.6,0.0,freemja01
149,Alex Fudge,SF,20,LAL,4,14,-2.0,.291,.333,.333,16.6,0.0,7.9,0.0,0.0,0.0,12.7,24.3,,-0.1,0.0,-0.1,-0.227,,-10.0,-8.1,-18.2,-0.1,fudgeal01
150,Markelle Fultz,PG,25,ORL,22,516,13.5,.492,.046,.103,7.1,10.5,8.8,22.3,2.7,1.4,12.1,17.3,,0.2,0.7,0.9,.084,,-1.7,2.1,0.4,0.3,fultzma01
151,Daniel Gafford,C-PF,25,TOT,50,1293,20.2,.700,.000,.404,12.0,21.8,16.8,7.9,1.7,6.7,11.5,14.3,,3.3,1.5,4.8,.178,,-0.2,1.1,0.9,0.9,gaffoda01
151,Daniel Gafford,C,25,WAS,45,1192,19.7,.707,.000,.405,11.4,21.1,16.1,7.9,1.7,6.6,11.7,13.8,,3.0,1.3,4.3,.173,,-0.4,1.1,0.7,0.8,gaffoda01
151,Daniel Gafford,PF,25,DAL,5,101,25.5,.639,.000,.395,19.4,30.5,24.9,7.4,0.9,7.8,10.1,21.0,,0.3,0.2,0.5,.233,,1.6,1.1,2.6,0.1,gaffoda01
152,Danilo Gallinari,PF-SF,35,TOT,34,489,14.7,.609,.494,.513,3.2,17.1,10.0,12.4,0.9,0.8,6.8,17.6,,0.9,0.2,1.1,.109,,0.1,-1.2,-1.2,0.1,gallida01
152,Danilo Gallinari,PF,35,WAS,26,385,13.3,.581,.489,.427,3.2,18.2,10.5,10.7,0.7,0.6,7.2,18.2,,0.5,0.1,0.6,.075,,-0.9,-1.8,-2.8,-0.1,gallida01
152,Danilo Gallinari,SF,35,DET,6,90,23.1,.799,.545,1.091,2.4,15.3,8.7,17.9,1.1,1.8,3.0,15.7,,0.5,0.0,0.5,.293,,5.9,1.0,6.9,0.2,gallida01
152,Danilo Gallinari,SF,35,MIL,2,14,-1.1,.000,.333,.000,8.0,0.0,3.9,23.5,3.4,0.0,25.0,12.2,,-0.1,0.0,0.0,-0.144,,-9.7,0.1,-9.6,0.0,gallida01
153,Darius Garland,PG,24,CLE,32,1031,15.4,.577,.365,.265,1.5,6.4,4.0,28.4,2.1,0.3,17.1,25.7,,0.5,1.4,1.9,.087,,0.4,-0.7,-0.2,0.5,garlada01
154,Usman Garuba,PF,21,GSW,3,8,6.1,.000,.000,.000,13.6,0.0,6.8,14.0,6.0,0.0,0.0,5.2,,0.0,0.0,0.0,.069,,-6.5,3.5,-3.0,0.0,garubus01
155,Luka Garza,C,25,MIN,14,40,17.9,.545,.360,.480,18.3,13.4,15.7,8.6,0.0,0.0,6.2,35.5,,0.1,0.1,0.1,.135,,-2.3,-3.8,-6.2,0.0,garzalu01
156,Kaiser Gates,SF,27,NOP,1,7,-19.6,.000,.500,.000,0.0,15.8,7.9,0.0,0.0,0.0,0.0,24.5,,-0.1,0.0,-0.1,-0.544,,-18.6,-10.0,-28.6,-0.1,gateska01
157,Keyonte George,PG,20,UTA,52,1308,11.0,.535,.561,.284,1.2,11.0,6.1,23.6,1.0,0.3,15.9,21.3,,0.3,0.4,0.6,.023,,-1.2,-2.2,-3.4,-0.4,georgke01
158,Paul George,PF,33,LAC,52,1758,18.2,.592,.481,.214,1.9,15.5,9.0,16.4,2.3,1.0,9.8,26.7,,2.5,2.2,4.6,.127,,1.9,0.2,2.2,1.8,georgpa01
159,Taj Gibson,PF,38,NYK,16,165,3.2,.335,.261,.087,6.8,12.2,9.5,6.6,0.6,3.4,17.3,7.5,,-0.1,0.2,0.1,.019,,-7.0,0.0,-7.0,-0.2,gibsota01
160,Josh Giddey,SG,21,OKC,56,1388,15.0,.520,.283,.143,6.5,20.5,13.9,24.1,1.3,2.1,15.4,22.5,,0.2,2.0,2.3,.078,,0.1,0.3,0.3,0.8,giddejo01
161,Harry Giles,C,25,BRK,16,81,18.2,.543,.250,.295,15.5,19.3,17.3,12.6,0.6,3.3,10.8,29.5,,0.0,0.1,0.1,.063,,-1.1,-1.7,-2.8,0.0,gilesha01
162,Shai Gilgeous-Alexander,PG,25,OKC,56,1932,30.7,.650,.167,.449,2.9,14.4,8.9,31.4,3.0,2.4,8.3,32.9,,8.8,3.3,12.1,.301,,7.4,2.7,10.1,5.9,gilgesh01
163,Anthony Gill,PF,31,WAS,31,173,11.7,.544,.260,.400,8.4,15.8,12.0,10.6,1.9,2.8,20.3,17.8,,-0.1,0.1,0.0,.010,,-3.3,-1.1,-4.5,-0.1,gillan01
164,Collin Gillespie,PG,24,DEN,19,161,11.3,.639,.533,.178,0.7,7.4,4.1,12.9,3.1,0.0,17.1,15.8,,0.1,0.2,0.3,.084,,-3.6,1.2,-2.4,0.0,gilleco01
165,Jacob Gilyard,PG,25,MEM,37,654,11.5,.597,.833,.014,1.3,6.1,3.6,28.1,2.0,0.7,16.7,11.5,,0.8,0.6,1.4,.104,,-1.5,0.3,-1.2,0.1,gilyaja01
166,Rudy Gobert,C,31,MIN,55,1840,18.9,.667,.005,.642,13.2,28.9,21.5,5.2,0.9,5.4,12.8,15.5,,3.9,4.3,8.2,.214,,0.0,1.7,1.7,1.7,goberru01
167,Jordan Goodwin,PG,25,TOT,42,611,12.5,.481,.399,.155,8.4,14.8,11.8,18.6,2.1,1.4,12.0,18.3,,0.1,0.7,0.9,.067,,-1.5,0.3,-1.1,0.1,goodwjo01
167,Jordan Goodwin,PG,25,PHO,40,558,12.4,.481,.415,.150,8.7,14.8,11.9,18.7,2.0,1.4,12.4,18.2,,0.2,0.6,0.8,.068,,-1.3,0.3,-1.0,0.1,goodwjo01
167,Jordan Goodwin,PG,25,MEM,2,53,13.6,.483,.250,.200,6.0,15.0,10.4,17.8,2.8,1.7,8.4,19.3,,0.0,0.1,0.1,.053,,-2.9,0.3,-2.6,0.0,goodwjo01
168,Aaron Gordon,PF,28,DEN,52,1637,16.3,.600,.190,.371,8.6,14.1,11.4,13.5,1.3,1.9,11.3,17.9,,2.7,1.8,4.5,.132,,0.7,-0.1,0.6,1.1,gordoaa01
169,Eric Gordon,SG,35,PHO,49,1460,11.5,.597,.637,.111,1.2,6.5,4.0,10.2,1.6,1.5,10.8,17.0,,1.0,1.1,2.0,.067,,-0.7,-0.8,-1.5,0.2,gordoer01
170,Devonte' Graham,PG,28,SAS,12,99,13.0,.522,.733,.267,2.1,15.6,8.7,25.2,1.4,0.9,8.2,15.5,,0.1,0.1,0.2,.086,,-1.2,-0.2,-1.4,0.0,grahade01
171,Jerami Grant,PF,29,POR,49,1666,15.7,.573,.321,.369,2.3,10.3,6.0,13.6,1.1,1.8,10.0,26.2,,1.5,0.9,2.4,.069,,1.1,-1.2,-0.2,0.8,grantje01
